time_s,own_id,intr_id,rel_x_m,rel_y_m,rel_alt_sensed_ft,rel_alt_true_ft,tau_s,d_cpa_m,advisory,is_nmac,own_alt_sensed_ft,own_alt_true_ft,own_climb_sensed_fps,own_climb_true_fps,intr_alt_sensed_ft,intr_alt_true_ft,intr_climb_sensed_fps,intr_climb_true_fps
0.43,OWN_BADALT,INTR_BADALT,-3198.5,-18139.3,1840.3,1448.6,85.25,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16840.3,16448.6,-25.00,-25.00
0.43,INTR_BADALT,OWN_BADALT,3198.5,18139.3,-1840.3,-1448.6,85.25,0.0,CLEAR,0,16840.3,16448.6,-25.00,-25.00,15000.0,15000.0,0.00,0.00
0.47,OWN_BADALT,INTR_BADALT,-3197.2,-18132.2,1839.5,1447.8,85.21,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16839.5,16447.8,-25.00,-25.00
0.47,INTR_BADALT,OWN_BADALT,3197.2,18132.2,-1839.5,-1447.8,85.21,0.0,CLEAR,0,16839.5,16447.8,-25.00,-25.00,15000.0,15000.0,0.00,0.00
0.50,OWN_BADALT,INTR_BADALT,-3196.0,-18125.2,1838.7,1447.0,85.18,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16838.7,16447.0,-25.00,-25.00
0.50,INTR_BADALT,OWN_BADALT,3196.0,18125.2,-1838.7,-1447.0,85.18,0.0,CLEAR,0,16838.7,16447.0,-25.00,-25.00,15000.0,15000.0,0.00,0.00
0.53,OWN_BADALT,INTR_BADALT,-3194.7,-18118.1,1837.8,1446.1,85.15,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16837.8,16446.1,-25.00,-25.00
0.53,INTR_BADALT,OWN_BADALT,3194.7,18118.1,-1837.8,-1446.1,85.15,0.0,CLEAR,0,16837.8,16446.1,-25.00,-25.00,15000.0,15000.0,0.00,0.00
0.57,OWN_BADALT,INTR_BADALT,-3193.5,-18111.0,1837.0,1445.3,85.11,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16837.0,16445.3,-25.00,-25.00
0.57,INTR_BADALT,OWN_BADALT,3193.5,18111.0,-1837.0,-1445.3,85.11,0.0,CLEAR,0,16837.0,16445.3,-25.00,-25.00,15000.0,15000.0,0.00,0.00
0.60,OWN_BADALT,INTR_BADALT,-3192.2,-18103.9,1836.2,1444.5,85.08,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16836.2,16444.5,-25.00,-25.00
0.60,INTR_BADALT,OWN_BADALT,3192.2,18103.9,-1836.2,-1444.5,85.08,0.0,CLEAR,0,16836.2,16444.5,-25.00,-25.00,15000.0,15000.0,0.00,0.00
0.63,OWN_BADALT,INTR_BADALT,-3191.0,-18096.8,1835.3,1443.6,85.05,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16835.3,16443.6,-25.00,-25.00
0.63,INTR_BADALT,OWN_BADALT,3191.0,18096.8,-1835.3,-1443.6,85.05,0.0,CLEAR,0,16835.3,16443.6,-25.00,-25.00,15000.0,15000.0,0.00,0.00
0.67,OWN_BADALT,INTR_BADALT,-3189.7,-18089.7,1834.5,1442.8,85.01,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16834.5,16442.8,-25.00,-25.00
0.67,INTR_BADALT,OWN_BADALT,3189.7,18089.7,-1834.5,-1442.8,85.01,0.0,CLEAR,0,16834.5,16442.8,-25.00,-25.00,15000.0,15000.0,0.00,0.00
0.70,OWN_BADALT,INTR_BADALT,-3188.4,-18082.6,1833.7,1442.0,84.98,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16833.7,16442.0,-25.00,-25.00
0.70,INTR_BADALT,OWN_BADALT,3188.4,18082.6,-1833.7,-1442.0,84.98,0.0,CLEAR,0,16833.7,16442.0,-25.00,-25.00,15000.0,15000.0,0.00,0.00
0.73,OWN_BADALT,INTR_BADALT,-3187.2,-18075.5,1832.8,1441.1,84.95,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16832.8,16441.1,-25.00,-25.00
0.73,INTR_BADALT,OWN_BADALT,3187.2,18075.5,-1832.8,-1441.1,84.95,0.0,CLEAR,0,16832.8,16441.1,-25.00,-25.00,15000.0,15000.0,0.00,0.00
0.77,OWN_BADALT,INTR_BADALT,-3185.9,-18068.4,1832.0,1440.3,84.91,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16832.0,16440.3,-25.00,-25.00
0.77,INTR_BADALT,OWN_BADALT,3185.9,18068.4,-1832.0,-1440.3,84.91,0.0,CLEAR,0,16832.0,16440.3,-25.00,-25.00,15000.0,15000.0,0.00,0.00
0.80,OWN_BADALT,INTR_BADALT,-3184.7,-18061.3,1831.2,1439.5,84.88,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16831.2,16439.5,-25.00,-25.00
0.80,INTR_BADALT,OWN_BADALT,3184.7,18061.3,-1831.2,-1439.5,84.88,0.0,CLEAR,0,16831.2,16439.5,-25.00,-25.00,15000.0,15000.0,0.00,0.00
0.83,OWN_BADALT,INTR_BADALT,-3183.4,-18054.2,1830.3,1438.6,84.85,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16830.3,16438.6,-25.00,-25.00
0.83,INTR_BADALT,OWN_BADALT,3183.4,18054.2,-1830.3,-1438.6,84.85,0.0,CLEAR,0,16830.3,16438.6,-25.00,-25.00,15000.0,15000.0,0.00,0.00
0.87,OWN_BADALT,INTR_BADALT,-3182.2,-18047.1,1829.5,1437.8,84.81,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16829.5,16437.8,-25.00,-25.00
0.87,INTR_BADALT,OWN_BADALT,3182.2,18047.1,-1829.5,-1437.8,84.81,0.0,CLEAR,0,16829.5,16437.8,-25.00,-25.00,15000.0,15000.0,0.00,0.00
0.90,OWN_BADALT,INTR_BADALT,-3180.9,-18040.0,1828.7,1437.0,84.78,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16828.7,16437.0,-25.00,-25.00
0.90,INTR_BADALT,OWN_BADALT,3180.9,18040.0,-1828.7,-1437.0,84.78,0.0,CLEAR,0,16828.7,16437.0,-25.00,-25.00,15000.0,15000.0,0.00,0.00
0.93,OWN_BADALT,INTR_BADALT,-3179.7,-18032.9,1827.8,1436.1,84.75,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16827.8,16436.1,-25.00,-25.00
0.93,INTR_BADALT,OWN_BADALT,3179.7,18032.9,-1827.8,-1436.1,84.75,0.0,CLEAR,0,16827.8,16436.1,-25.00,-25.00,15000.0,15000.0,0.00,0.00
0.97,OWN_BADALT,INTR_BADALT,-3178.4,-18025.9,1827.0,1435.3,84.71,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16827.0,16435.3,-25.00,-25.00
0.97,INTR_BADALT,OWN_BADALT,3178.4,18025.9,-1827.0,-1435.3,84.71,0.0,CLEAR,0,16827.0,16435.3,-25.00,-25.00,15000.0,15000.0,0.00,0.00
1.00,OWN_BADALT,INTR_BADALT,-3177.2,-18018.8,1826.2,1434.5,84.68,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16826.2,16434.5,-25.00,-25.00
1.00,INTR_BADALT,OWN_BADALT,3177.2,18018.8,-1826.2,-1434.5,84.68,0.0,CLEAR,0,16826.2,16434.5,-25.00,-25.00,15000.0,15000.0,0.00,0.00
1.03,OWN_BADALT,INTR_BADALT,-3175.9,-18011.7,1825.3,1433.6,84.65,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16825.3,16433.6,-25.00,-25.00
1.03,INTR_BADALT,OWN_BADALT,3175.9,18011.7,-1825.3,-1433.6,84.65,0.0,CLEAR,0,16825.3,16433.6,-25.00,-25.00,15000.0,15000.0,0.00,0.00
1.07,OWN_BADALT,INTR_BADALT,-3174.7,-18004.6,1824.5,1432.8,84.61,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16824.5,16432.8,-25.00,-25.00
1.07,INTR_BADALT,OWN_BADALT,3174.7,18004.6,-1824.5,-1432.8,84.61,0.0,CLEAR,0,16824.5,16432.8,-25.00,-25.00,15000.0,15000.0,0.00,0.00
1.10,OWN_BADALT,INTR_BADALT,-3173.4,-17997.5,1823.7,1432.0,84.58,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16823.7,16432.0,-25.00,-25.00
1.10,INTR_BADALT,OWN_BADALT,3173.4,17997.5,-1823.7,-1432.0,84.58,0.0,CLEAR,0,16823.7,16432.0,-25.00,-25.00,15000.0,15000.0,0.00,0.00
1.13,OWN_BADALT,INTR_BADALT,-3172.2,-17990.4,1822.8,1431.1,84.55,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16822.8,16431.1,-25.00,-25.00
1.13,INTR_BADALT,OWN_BADALT,3172.2,17990.4,-1822.8,-1431.1,84.55,0.0,CLEAR,0,16822.8,16431.1,-25.00,-25.00,15000.0,15000.0,0.00,0.00
