time_s,own_id,intr_id,rel_x_m,rel_y_m,rel_alt_sensed_ft,rel_alt_true_ft,tau_s,d_cpa_m,advisory,is_nmac,own_alt_sensed_ft,own_alt_true_ft,own_climb_sensed_fps,own_climb_true_fps,intr_alt_sensed_ft,intr_alt_true_ft,intr_climb_sensed_fps,intr_climb_true_fps
0.37,OWN_IMMEDIATE_RA,INTR_IMMEDIATE_RA,0.0,3632.0,171.7,171.7,20.17,0.0,RA_CROSSING_DESCEND,0,14989.0,14989.0,-30.00,-30.00,15160.7,15160.7,30.00,30.00
0.37,INTR_IMMEDIATE_RA,OWN_IMMEDIATE_RA,-0.0,-3632.0,-171.7,-171.7,20.17,0.0,RA_CROSSING_CLIMB,0,15160.7,15160.7,30.00,30.00,14989.0,14989.0,-30.00,-30.00
0.40,OWN_IMMEDIATE_RA,INTR_IMMEDIATE_RA,0.0,3626.0,173.7,173.7,20.14,0.0,RA_CROSSING_DESCEND,0,14988.0,14988.0,-30.00,-30.00,15161.7,15161.7,30.00,30.00
0.40,INTR_IMMEDIATE_RA,OWN_IMMEDIATE_RA,-0.0,-3626.0,-173.7,-173.7,20.14,0.0,RA_CROSSING_CLIMB,0,15161.7,15161.7,30.00,30.00,14988.0,14988.0,-30.00,-30.00
0.43,OWN_IMMEDIATE_RA,INTR_IMMEDIATE_RA,0.0,3620.0,175.7,175.7,20.10,0.0,RA_CROSSING_DESCEND,0,14987.0,14987.0,-30.00,-30.00,15162.7,15162.7,30.00,30.00
0.43,INTR_IMMEDIATE_RA,OWN_IMMEDIATE_RA,-0.0,-3620.0,-175.7,-175.7,20.10,0.0,RA_CROSSING_CLIMB,0,15162.7,15162.7,30.00,30.00,14987.0,14987.0,-30.00,-30.00
0.47,OWN_IMMEDIATE_RA,INTR_IMMEDIATE_RA,0.0,3614.0,177.7,177.7,20.07,0.0,RA_CROSSING_DESCEND,0,14986.0,14986.0,-30.00,-30.00,15163.7,15163.7,30.00,30.00
0.47,INTR_IMMEDIATE_RA,OWN_IMMEDIATE_RA,-0.0,-3614.0,-177.7,-177.7,20.07,0.0,RA_CROSSING_CLIMB,0,15163.7,15163.7,30.00,30.00,14986.0,14986.0,-30.00,-30.00
0.50,OWN_IMMEDIATE_RA,INTR_IMMEDIATE_RA,0.0,3608.0,179.7,179.7,20.04,0.0,RA_CROSSING_DESCEND,0,14985.0,14985.0,-30.00,-30.00,15164.7,15164.7,30.00,30.00
0.50,INTR_IMMEDIATE_RA,OWN_IMMEDIATE_RA,-0.0,-3608.0,-179.7,-179.7,20.04,0.0,RA_CROSSING_CLIMB,0,15164.7,15164.7,30.00,30.00,14985.0,14985.0,-30.00,-30.00
